entity_type,entity_id,center_name,identity_source_id,identity_record_id,identity_basis
county,1220004,قشم,geonames-iran-2026-09-19,119374,geonames_admin_feature
county,1220005,میناب,geonames-iran-2026-09-19,123941,geonames_admin_feature
county,1220006,بندر جاسک,coordinate-center-verification-2026-09-19,county:1220006,verified_override
county,1220007,دهبارز,geonames-iran-2026-09-19,120351,geonames_admin_feature
county,1220008,حاجی آباد,geonames-iran-2026-09-19,132382,geonames_admin_feature
county,1220009,بستک,geonames-iran-2026-09-19,141104,geonames_admin_feature
county,1230001,تهران,coordinate-center-verification-2026-09-19,county:1230001,verified_override
county,1230002,دماوند,geonames-iran-2026-09-19,138042,geonames_admin_feature
county,1230003,ری,geonames-iran-2026-09-19,9533872,geonames_admin_feature
county,1230004,تجریش,geonames-iran-2026-09-19,113514,geonames_admin_feature
county,1230006,ورامین,geonames-iran-2026-09-19,112214,geonames_admin_feature
county,1230009,شهریار,geonames-iran-2026-09-19,143860,geonames_admin_feature
county,1240001,اردبیل,geonames-iran-2026-09-19,143083,geonames_admin_feature
county,1240002,بیله سوار,geonames-iran-2026-09-19,140494,geonames_admin_feature
county,1240003,خلخال,geonames-iran-2026-09-19,128008,geonames_admin_feature
county,1240004,مشگین شهر,geonames-iran-2026-09-19,124210,geonames_admin_feature
county,1240005,گرمی,geonames-iran-2026-09-19,133972,geonames_admin_feature
county,1240006,پارس آباد,geonames-iran-2026-09-19,121380,geonames_admin_feature
county,1240007,گیوی,geonames-iran-2026-09-19,9514746,geonames_admin_feature
county,1240008,نمین,geonames-iran-2026-09-19,122721,geonames_admin_feature
county,1240009,نیر,geonames-iran-2026-09-19,15269,geonames_admin_feature
county,1250001,قم,geonames-iran-2026-09-19,119208,geonames_admin_feature
county,1250002,جعفریه,coordinate-center-verification-2026-09-19,county:1250002,verified_override
county,1250003,کهک,coordinate-center-verification-2026-09-19,county:1250003,verified_override
county,1260001,بویین زهرا,coordinate-center-verification-2026-09-19,county:1260001,verified_override
county,1260002,تاکستان,geonames-iran-2026-09-19,113491,geonames_admin_feature
county,1260003,قزوین,geonames-iran-2026-09-19,119505,geonames_admin_feature
county,1260004,آبیک,geonames-iran-2026-09-19,144795,geonames_admin_feature
county,1260005,الوند,geonames-iran-2026-09-19,10570,geonames_admin_feature
county,1260006,آوج,geonames-iran-2026-09-19,142642,geonames_admin_feature
county,1270001,بندرگز,geonames-iran-2026-09-19,141673,geonames_admin_feature
county,1270002,بندرترکمن,geonames-iran-2026-09-19,141653,geonames_admin_feature
county,1270003,علی آباد,geonames-iran-2026-09-19,144038,geonames_admin_feature
county,1270004,کردکوی,geonames-iran-2026-09-19,126572,geonames_admin_feature
county,1270005,گرگان,geonames-iran-2026-09-19,132892,geonames_admin_feature
county,1270006,گنبدکاووس,geonames-iran-2026-09-19,132938,geonames_admin_feature
county,1270007,مینودشت,geonames-iran-2026-09-19,123927,geonames_admin_feature
county,1270008,آق قلا,geonames-iran-2026-09-19,7329809,geonames_admin_feature
county,1270009,کلاله,geonames-iran-2026-09-19,129512,geonames_admin_feature
county,1280001,اسفراین,geonames-iran-2026-09-19,135298,geonames_admin_feature
county,1280002,بجنورد,geonames-iran-2026-09-19,140380,geonames_admin_feature
county,1280003,جاجرم,geonames-iran-2026-09-19,130524,geonames_admin_feature
county,1280004,شیروان,geonames-iran-2026-09-19,114930,geonames_admin_feature
county,1280005,فاروج,geonames-iran-2026-09-19,134745,geonames_admin_feature
county,1280006,آشخانه,geonames-iran-2026-09-19,142768,geonames_admin_feature
county,1280007,گرمه,geonames-iran-2026-09-19,133978,geonames_admin_feature
county,1280008,راز,coordinate-center-verification-2026-09-19,county:1280008,verified_override
county,1280009,صفی آباد,coordinate-center-verification-2026-09-19,county:1280009,verified_override
county,1290001,بیرجند,geonames-iran-2026-09-19,140463,geonames_admin_feature
county,1290002,اسدیه,geonames-iran-2026-09-19,142862,geonames_admin_feature
county,1290003,سربیشه,geonames-iran-2026-09-19,117204,geonames_admin_feature
county,1290004,قاین,geonames-iran-2026-09-19,120694,geonames_admin_feature
county,1290005,نهبندان,geonames-iran-2026-09-19,1160120,geonames_admin_feature
county,1290006,سرایان,geonames-iran-2026-09-19,117232,geonames_admin_feature
county,1290007,فردوس,geonames-iran-2026-09-19,134613,geonames_admin_feature
county,1290008,بشرویه,geonames-iran-2026-09-19,9480732,geonames_admin_feature
county,1290009,حاجی آباد,geonames-iran-2026-09-19,1161048,geonames_admin_feature
county,1300001,کرج,geonames-iran-2026-09-19,128747,geonames_admin_feature
county,1300002,هشتگرد,geonames-iran-2026-09-19,131691,geonames_admin_feature
county,1300003,نظرآباد,geonames-iran-2026-09-19,122438,geonames_admin_feature
county,1300004,طالقان,geonames-iran-2026-09-19,9904,geonames_admin_feature
county,1300005,اشتهارد,geonames-iran-2026-09-19,135205,geonames_admin_feature
county,1300006,فردیس,geonames-iran-2026-09-19,112179,geonames_admin_feature
county,1300007,چهارباغ,coordinate-center-verification-2026-09-19,county:1300007,verified_override
county,10000010,مامونیه,geonames-iran-2026-09-19,6657461,geonames_admin_feature
county,10000011,کمیجان,geonames-iran-2026-09-19,126715,geonames_admin_feature
county,10000012,خنداب,geonames-iran-2026-09-19,127389,geonames_admin_feature
county,10000013,فرمهین,geonames-iran-2026-09-19,134788,geonames_admin_feature
county,10100010,لنگرود,geonames-iran-2026-09-19,125897,geonames_admin_feature
county,10100011,لاهیجان,geonames-iran-2026-09-19,126015,geonames_admin_feature
county,10100012,شفت,geonames-iran-2026-09-19,116076,geonames_admin_feature
county,10100013,املش,geonames-iran-2026-09-19,143539,geonames_admin_feature
county,10100014,رضوانشهر,geonames-iran-2026-09-19,118532,geonames_admin_feature
county,10100015,سیاهکل,geonames-iran-2026-09-19,114489,geonames_admin_feature
county,10100016,ماسال,geonames-iran-2026-09-19,141015,geonames_admin_feature
county,10100017,خمام,coordinate-center-verification-2026-09-19,county:10100017,verified_override
county,10200010,قایم شهر,coordinate-center-verification-2026-09-19,county:10200010,verified_override
county,10200014,نور,geonames-iran-2026-09-19,113797,geonames_admin_feature
county,10200015,نوشهر,geonames-iran-2026-09-19,121959,geonames_admin_feature
county,10200016,بابلسر,geonames-iran-2026-09-19,142358,geonames_admin_feature
county,10200018,محمودآباد,geonames-iran-2026-09-19,125328,geonames_admin_feature
county,10200019,نکا,geonames-iran-2026-09-19,122397,geonames_admin_feature
