geonameid	name	asciiname	alternatenames	latitude	longitude	feature_class	feature_code	country_code	cc2	admin1_code	admin2_code	admin3_code	admin4_code	population	elevation	dem	timezone	modification_date
112944	Tāzīān-e Pā’īn	Tazian-e Pa'in	Parsian,Pārsīān,Tazeyan,Tazeyan-e Zir,Tazeyān-e Zīr,Tazian,Tazian-e Pa'in,Tazian-e Zir,Taziyan,Tazīyan,Tāzeyān,Tāzīān,Tāzīān-e Pā’īn,Tāzīān-e Zīr,parsyan,tazian,taziani zyr,tazyan,tazyan payyn,tazyan zyr,تازيان زير,تازيان پائين,تازِيان,تَزيَّن,تَزِيانِ زير,پارسيان	27.2918	56.1532	P	PPL	IR		11				0		70	Asia/Tehran	2024-07-25
113090	Ābādeh Ţashk	Abadeh Tashk	Abade-Teshk,Abade-i-Tashk,Abade-je-Tashk,Abadeh Toshk,Abadeh-i-Tashk,Abadeh-ye Tashk,Abadetask,Abadetaşk,Abadetesk,Abadeteşk,Abadi-Toshk,Abadi-ye Tashk,Tashk,a ba dai he ta shen ke,abadh tshk,abadt tshk,abadہ tshk,Ābādeh Toshk,Ābādeh-i-Tashk,Ābādeh-ye Ţashk,Ābādī-ye Tashk,Ţashk,Абаде-Тешк,Абаде́-йе-Ташк,Абаде́-і-Ташк,Абаді-Тошк,Ташк,آبادة تشك,آباده طشک,آبادہ طشک,阿巴代赫塔什克	29.81083	53.7275	P	PPL	IR		07				7379		1598	Asia/Tehran	2026-05-13
113343	Hashtpar	Hashtpar	Gashpar,Hashtpar,Hashtpar-e Tavalesh,Hashtpar-e Tavālesh,Otak Saray,Otaq Sarai,Otaq Saray,Otāq Sarai,Oţāq Sarāy,Talesh,Tālesh,hshtpr,hshtpr twalsh,هشتپر,هشتپر توالش	37.79658	48.90521	P	PPLA2	IR		08				45305		57	Asia/Tehran	2016-05-07
113491	Tākestān	Takestan	Seyadahan,Seyādahan,Siadehan,Siahdehan,Siakh-Degen,Siakhdekhan,Sīahdehān,Sīādehan,Takestan,Takistan,Tākestān,Tākistān,takstan,تاكستان	36.07057	49.69571	P	PPLA2	IR		38				71499		1265	Asia/Tehran	2024-07-22
113508	Takāb	Takab	Takab,Takan Tepe,Takāb,tkab,تکاب	36.4009	47.1133	P	PPLA2	IR		01				51541		1798	Asia/Tehran	2024-07-22
113514	Tajrīsh	Tajrish	Tajrish,Tajrīsh,tjrysh,تجريش	35.8044	51.4256	P	PPLA2	IR		26				86000		1608	Asia/Tehran	2025-03-06
113556	Herāt	Herat	Burd Harat,Burd Herat,Būrd Harāt,Būrd Herāt,Harat Khowreh,Harāt Khowreh,Herat,Herat-i-Khurreh,Herāt,Herāt-i-Khurreh,Shahr-e Herat,Shahr-e Herāt,Tajabad,Tajabad-e Harat,Tājābād,Tājābād-e Harāt,hrat,shhr hrat,شهر هرات,هرات	30.05407	54.37294	P	PPLA2	IR		40				13032		1595	Asia/Tehran	2026-04-28
113632	Taft	Taft	Taft,tft,Тафт,تفت	31.74384	54.20278	P	PPLA2	IR		40	449719			18464		1549	Asia/Tehran	2026-06-01
113636	Tafresh	Tafresh	Tafresh,tfrsh,Тафреш,تفرش	34.69307	50.01601	P	PPLA2	IR		34				16493		1910	Asia/Tehran	2026-04-25
113646	Tabriz	Tabriz	Davrez,Dawrez,TBZ,Tabrez,Tabris,Tabriz,Tabrizo,Tabríz,Tabrīz,Taebris,Taebriz,Tampriz,Tauris,Tebriz,Tebriza,Tebrizas,Tebrīza,Tehbryz,Tewrez,Tewrêz,Toewriz,Täbris,Täbriz,Töwriz,Təbriz,Tʻawriz,da bu li shi,ta bris,tabareza,tabariza,tabeulijeu,tabris,taburizu,tavrizi,tbryz,Ταμπρίζ,Табрез,Табриз,Тебриз,Тэбрыз,Тәбриз,Դավրէժ,Դաւրէժ,Թավրիզ,Թաւրիզ,טאבריז,תבריז,تبريز,تبریز,تەورێز,तबरेज़,ਤਬਰੀਜ਼,ടാബ്രിസ്,ตาบริซ,ཊ་བི་རི་ཛ།,თავრიზი,タブリーズ,大不里士,타브리즈	38.08	46.2919	P	PPLA	IR		33				1424641		1396	Asia/Tehran	2026-08-27
113659	Tabas	Tabas	Golshan,Gulshan,TCX,Tabas,Tabas Gilaki,Tebes,Təbəs,ta ba si,tbs,Ţabas,Табас,Тебес,شہرستان طبس,طبس,塔巴斯	33.59586	56.92437	P	PPL	IR		40				49993		669	Asia/Tehran	2024-07-22
113723	Surian	Surian	Bavanat,Sureyan,Surian,Suriyan,Sūreyān,Sūrīyān,Sūrīān,bwanat,swryan,بوانات,سوریان	30.4551	53.651	P	PPLA2	IR		07				20000		2182	Asia/Tehran	2023-07-17
113760	Sūrak	Surak	Surak,Sūrak,swrk,سورک	36.59488	53.20762	P	PPLA2	IR		35				9208		38	Asia/Tehran	2025-04-07
113797	Nūr	Nur	Nur,Nūr,Suldeh,Sulehdeh,Sūldeh,Sūlehdeh,nwr,swldih,swlihdih,سولدِه,سولِهدِه,نور	36.57168	52.0153	P	PPLA2	IR		35				26947		-18	Asia/Tehran	2025-05-13
113860	Şowme‘eh Sarā	Sowme'eh Sara	Somee Sara,Sowma`eh Sara,Sowme`eh Sara,Sume`eh Sara,Sumehsara,Sumesera,Şowma‘eh Sarā,Şowme‘eh Sarā,Şūme‘eh Sarā,صومعه سرا	37.30134	49.31504	P	PPLA2	IR		08				47083		7	Asia/Tehran	2026-02-27
113952	Sorkheh	Sorkheh	Sorkheh,Surkheh,srkhh,سرخه	35.4633	53.214	P	PPLA2	IR		25				9951		1139	Asia/Tehran	2026-05-22
114049	Sonqor	Sonqor	Sanghur,Sanghūr,Sonqor,Sunqur,Sūnqūr,snqr,سنقر	34.78187	47.59945	P	PPLA2	IR		13				44256		1697	Asia/Tehran	2026-05-21
114105	Solţānābād	Soltanabad	Kashmar,Soltanabad,Solţānābād,Sultanabad,Sultānābād,Turshiz,sltan abad,سلطان آباد	36.40352	58.03894	P	PPLA2	IR		42				0		1212	Asia/Tehran	2024-07-22
