county_id,county_name,province_id,center_name,latitude,longitude,source_id,source_feature_id,source_name
1190003,خدابنده,119,قیدار,36.11949,48.59089,geonames-iran-2026-09-19,6741193,Khodābandeh
1190004,زنجان,119,زنجان,36.67642,48.49628,geonames-iran-2026-09-19,111453,Zanjan
1190006,ایجرود,119,زرین آباد,36.42622,48.28158,geonames-iran-2026-09-19,111246,Zarrīnābād
1190007,خرمدره,119,خرمدره,36.20777,49.19527,geonames-iran-2026-09-19,41210,Khorramdarreh
1190008,طارم,119,آب بر,36.92627,48.95832,geonames-iran-2026-09-19,145407,Ābbar
1190009,ماهنشان,119,ماه نشان,36.7444,47.6725,geonames-iran-2026-09-19,125290,Māhneshān
1200001,دامغان,120,دامغان,36.1679,54.34292,geonames-iran-2026-09-19,138025,Dāmghān
1200002,سمنان,120,سمنان,35.57691,53.39205,geonames-iran-2026-09-19,116402,Semnan
1200003,شاهرود,120,شاهرود,36.41819,54.97628,geonames-iran-2026-09-19,135423,Shahrud
1200004,گرمسار,120,گرمسار,35.21824,52.34085,geonames-iran-2026-09-19,133964,Garmsār
1200005,مهدی شهر,120,مهدی شهر,35.71071,53.35394,geonames-iran-2026-09-19,7100777,Mahdishahr
1200006,آرادان,120,آرادان,35.24941,52.49422,geonames-iran-2026-09-19,143129,Ārādān
1200007,میامی,120,میامی,36.41092,55.65018,geonames-iran-2026-09-19,124562,Meyami
1200008,سرخه,120,سرخه,35.4633,53.214,geonames-iran-2026-09-19,113952,Sorkheh
1210001,اردکان,121,اردکان,32.31001,54.01747,geonames-iran-2026-09-19,143073,Ardakān
1210002,بافق,121,بافق,31.6035,55.40249,geonames-iran-2026-09-19,142255,Bāfq
1210003,تفت,121,تفت,31.74384,54.20278,geonames-iran-2026-09-19,113632,Taft
1210004,مهریز,121,مهریز,31.58428,54.4428,geonames-iran-2026-09-19,124274,Mahrīz
1210005,یزد,121,یزد,31.89722,54.3675,geonames-iran-2026-09-19,111822,Yazd
1210006,میبد,121,میبد,32.25014,54.01658,geonames-iran-2026-09-19,124193,Meybod
1210007,ابرکوه,121,ابرکوه,31.1289,53.2824,geonames-iran-2026-09-19,145427,Abarkūh
1210008,اشکذر,121,اشکذر,31.99679,54.20852,geonames-iran-2026-09-19,66250,Ashkez̄ar
1210009,خاتم,121,هرات,30.05407,54.37294,geonames-iran-2026-09-19,113556,Herāt
1220001,ابوموسی,122,ابوموسی,25.875,55.03,geonames-iran-2026-09-19,292983,Abu Musa Island
1220002,بندر عباس,122,بندر عباس,27.1865,56.2808,geonames-iran-2026-09-19,141681,Bandar Abbas
1220003,بندر لنگه,122,بندر لنگه,26.56207,54.88382,geonames-iran-2026-09-19,141665,Bandar-e Lengeh
1220004,قشم,122,قشم,26.9492,56.2691,geonames-iran-2026-09-19,119374,Qeshm
1220005,میناب,122,میناب,27.13104,57.08716,geonames-iran-2026-09-19,123941,Mīnāb
1220006,جاسک,122,بندر جاسک,25.64533,57.77552,geonames-iran-2026-09-19,130276,Jask
1220007,رودان,122,دهبارز,27.44194,57.19198,geonames-iran-2026-09-19,120351,Rūdān
1220008,حاجی آباد,122,حاجی آباد,28.3091,55.9017,geonames-iran-2026-09-19,132382,Ḩājjīābād
1220009,بستک,122,بستک,27.19908,54.36676,geonames-iran-2026-09-19,141104,Bastak
1230001,تهران,123,تهران,35.75,51.5148,geonames-iran-2026-09-19,6683528,Tehrān
1230002,دماوند,123,دماوند,35.71842,52.06958,geonames-iran-2026-09-19,138042,Damāvand
1230003,ری,123,ری,35.59354,51.43997,geonames-iran-2026-09-19,9533872,Rey
1230004,شمیرانات,123,تجریش,35.8044,51.4256,geonames-iran-2026-09-19,113514,Tajrīsh
1230006,ورامین,123,ورامین,35.3242,51.6457,geonames-iran-2026-09-19,112214,Varāmīn
1230009,شهریار,123,شهریار,35.65884,51.05775,geonames-iran-2026-09-19,143860,Shahrīār
1240001,اردبیل,124,اردبیل,38.2498,48.2933,geonames-iran-2026-09-19,143083,Ardabīl
1240002,بیله سوار,124,بیله سوار,39.37961,48.35463,geonames-iran-2026-09-19,140494,Bīleh Savār
1240003,خلخال,124,خلخال,37.61837,48.52928,geonames-iran-2026-09-19,128008,Khalkhāl
1240004,مشگین شهر,124,مشگین شهر,38.399,47.682,geonames-iran-2026-09-19,124210,Meshgīn Shahr
1240005,گرمی,124,گرمی,39.0215,48.0801,geonames-iran-2026-09-19,133972,Germī
1240006,پارس آباد,124,پارس آباد,39.6482,47.9174,geonames-iran-2026-09-19,121380,Pārsābād
1240007,کوثر,124,گیوی,37.68585,48.34204,geonames-iran-2026-09-19,9514746,Gīvī
1240008,نمین,124,نمین,38.4269,48.4839,geonames-iran-2026-09-19,122721,Namīn
1240009,نیر,124,نیر,38.0346,47.9986,geonames-iran-2026-09-19,15269,Nīr
1250001,قم,125,قم,34.6401,50.8764,geonames-iran-2026-09-19,119208,Qom
1250002,جعفرآباد,125,جعفریه,34.7747,50.5169,geonames-iran-2026-09-19,133677,Ja‘farīyeh
1250003,کهک,125,کهک,34.3938,50.8643,geonames-iran-2026-09-19,122026,Kahak
1260001,بویین زهرا,126,بویین زهرا,35.7669,50.0578,geonames-iran-2026-09-19,139903,Bū’īn Zahrā
1260002,تاکستان,126,تاکستان,36.07057,49.69571,geonames-iran-2026-09-19,113491,Tākestān
1260003,قزوین,126,قزوین,36.26877,50.0041,geonames-iran-2026-09-19,119505,Qazvin
1260004,آبیک,126,آبیک,36.03993,50.53101,geonames-iran-2026-09-19,144795,Ābyek
1260005,البرز,126,الوند,36.1893,50.0643,geonames-iran-2026-09-19,10570,Alvand
1260006,آوج,126,آوج,35.57959,49.22313,geonames-iran-2026-09-19,142642,Āvaj
1270001,بندرگز,127,بندرگز,36.77409,53.94798,geonames-iran-2026-09-19,141673,Bandar-e Gaz
1270002,ترکمن,127,بندرترکمن,36.90124,54.07195,geonames-iran-2026-09-19,141653,Bandar-e Torkaman
1270003,علی آباد کتول,127,علی آباد,36.91011,54.86737,geonames-iran-2026-09-19,144038,'Alī Ābād-e Katūl
1270004,کردکوی,127,کردکوی,36.79307,54.11214,geonames-iran-2026-09-19,126572,Kord Kūy
1270005,گرگان,127,گرگان,36.8427,54.44391,geonames-iran-2026-09-19,132892,Gorgān
1270006,گنبدکاووس,127,گنبدکاووس,37.25004,55.16721,geonames-iran-2026-09-19,132938,Gonbad-e Kāvūs
1270007,مینودشت,127,مینودشت,37.23015,55.37211,geonames-iran-2026-09-19,123927,Mīnūdasht
1270008,آق قلا,127,آق قلا,37.0139,54.45504,geonames-iran-2026-09-19,7329809,Āq Qalā
1270009,کلاله,127,کلاله,37.37899,55.493,geonames-iran-2026-09-19,129512,Kalāleh
1280001,اسفراین,128,اسفراین,37.07645,57.51009,geonames-iran-2026-09-19,135298,Esfarāyen
1280002,بجنورد,128,بجنورد,37.47473,57.32903,geonames-iran-2026-09-19,140380,Bojnūrd
1280003,جاجرم,128,جاجرم,36.95012,56.38005,geonames-iran-2026-09-19,130524,Jājarm
1280004,شیروان,128,شیروان,37.39669,57.92952,geonames-iran-2026-09-19,114930,Shīrvān
1280005,فاروج,128,فاروج,37.23121,58.219,geonames-iran-2026-09-19,134745,Fārūj
1280006,سملقان,128,آشخانه,37.5615,56.92125,geonames-iran-2026-09-19,142768,Āshkhāneh
1280007,گرمه,128,گرمه,36.987,56.28942,geonames-iran-2026-09-19,133978,Garmeh
1280008,راز و جرگلان,128,راز,37.93395,57.1126,geonames-iran-2026-09-19,118694,Rāz
1280009,بام و صفی آباد,128,صفی آباد,36.6954,57.92838,geonames-iran-2026-09-19,117916,Şafīābād
1290001,بیرجند,129,بیرجند,32.86628,59.22114,geonames-iran-2026-09-19,140463,Bīrjand
1290002,درمیان,129,اسدیه,32.9428,59.71998,geonames-iran-2026-09-19,142862,Asadīyeh
1290003,سربیشه,129,سربیشه,32.57566,59.79821,geonames-iran-2026-09-19,117204,Sarbīsheh
1290004,قاینات,129,قاین,33.72654,59.18439,geonames-iran-2026-09-19,120694,Qā’en
1290005,نهبندان,129,نهبندان,31.54185,60.03648,geonames-iran-2026-09-19,1160120,Nehbandān
1290006,سرایان,129,سرایان,33.86017,58.52166,geonames-iran-2026-09-19,117232,Sarāyān
1290007,فردوس,129,فردوس,34.0185,58.17222,geonames-iran-2026-09-19,134613,Ferdows
1290008,بشرویه,129,بشرویه,33.86845,57.42885,geonames-iran-2026-09-19,9480732,Boshrūyeh
1290009,زیرکوه,129,حاجی آباد,33.60496,59.9934,geonames-iran-2026-09-19,1161048,Ḩājjīābād
1300001,کرج,130,کرج,35.83266,50.99155,geonames-iran-2026-09-19,128747,Karaj
1300002,ساوجبلاغ,130,هشتگرد,35.962,50.6799,geonames-iran-2026-09-19,131691,Hashtgerd
1300003,نظرآباد,130,نظرآباد,35.95411,50.60607,geonames-iran-2026-09-19,122438,Naz̧arābād
1300004,طالقان,130,طالقان,36.17449,50.76908,geonames-iran-2026-09-19,9904,Ţāleqān
1300005,اشتهارد,130,اشتهارد,35.7255,50.3662,geonames-iran-2026-09-19,135205,Eshtehārd
1300006,فردیس,130,فردیس,35.7292,50.98483,geonames-iran-2026-09-19,112179,Fardīs
1300007,چهارباغ,130,چهارباغ,35.8389,50.8481,geonames-iran-2026-09-19,41672,Chahārbāgh
10000010,زرندیه,100,مامونیه,35.30454,50.49934,geonames-iran-2026-09-19,6657461,Māmūnīyeh
10000011,کمیجان,100,کمیجان,34.72142,49.32653,geonames-iran-2026-09-19,126715,Komījān
10000012,خنداب,100,خنداب,34.3928,49.1841,geonames-iran-2026-09-19,127389,Khondāb
