id,type,name,slug,tel_prefix
1000004315,county,کلاله,کلاله,
1000004323,county,آزادشهر,آزادشهر,
1000004331,county,رامیان,رامیان,
1000004349,county,مراوه تپه,مراوه-تپه,
1000004356,county,گمیشان,گمیشان,
1000004364,county,گلایکش,گلایکش,
1000004372,county,بیرجند,بیرجند,
1000004380,county,فردوس,فردوس,
1000004398,county,طبس,طبس,
1000004406,county,قائنات,قائنات,
1000004414,county,نهبندان,نهبندان,
1000004422,county,سربیشه,سربیشه,
1000004430,county,درمیان,درمیان,
1000004448,county,سرایان,سرایان,
1000004455,county,بشرویه,بشرویه,
1000004463,county,خوسف,خوسف,
1000004471,county,زیرکوه,زیرکوه,
1000004489,county,بجنورد,بجنورد,
1000004497,county,اسفراین,اسفراین,
1000004505,county,شیروان,شیروان,
1000004513,county,جاجرم,جاجرم,
1000004521,county,مانه و سملقان,مانه-و-سملقان,
1000004539,county,فاروج,فاروج,
1000004547,county,گرمه,گرمه,
1000004554,county,راز و جرگلان,راز-و-جرگلان,
1000004562,county,کرج,کرج,
1000004570,county,ساوجبلاغ,ساوجبلاغ,
1000004588,county,نظرآباد,نظرآباد,
1000004596,county,طالقان,طالقان,
1000004604,county,اشتهارد,اشتهارد,
1000004612,county,فردیس,فردیس,
1002408209,county,چهار باغ,چهار-باغ,
