county_id,county_name,province_id,center_name,latitude,longitude,source_id
1160001,ایلام,116,ایلام,33.6374,46.4227,geonames-iran-2026-09-19
1160002,دره شهر,116,دره شهر,33.14447,47.3799,geonames-iran-2026-09-19
1160003,دهلران,116,دهلران,32.6941,47.2679,geonames-iran-2026-09-19
1160004,چرداول,116,سرابله,33.76772,46.56578,geonames-iran-2026-09-19
1160005,مهران,116,مهران,33.1222,46.1646,geonames-iran-2026-09-19
1160006,آبدانان,116,آبدانان,32.9926,47.4198,geonames-iran-2026-09-19
1160007,ایوان,116,ایوان,33.8272,46.3097,geonames-iran-2026-09-19
1160008,ملکشاهی,116,ارکواز,33.3828,46.5983,geonames-iran-2026-09-19
1160009,سیروان,116,لومار,33.56522,46.814,geonames-iran-2026-09-19
1170001,بویراحمد,117,یاسوج,30.66824,51.58796,geonames-iran-2026-09-19
1170002,کهگیلویه,117,دهدشت,30.79337,50.56508,geonames-iran-2026-09-19
1170003,گچساران,117,دوگنبدان,30.3586,50.7981,geonames-iran-2026-09-19
1170004,دنا,117,سی سخت,30.86393,51.4559,geonames-iran-2026-09-19
1170005,بهمیی,117,لیکک,30.8949,50.0931,geonames-iran-2026-09-19
1170006,چرام,117,چرام,30.75561,50.74522,geonames-iran-2026-09-19
1170007,باشت,117,باشت,30.361,51.15735,geonames-iran-2026-09-19
1170008,لنده,117,لنده,30.98215,50.4206,geonames-iran-2026-09-19
1170009,مارگون,117,مارگون,30.99237,51.08253,geonames-iran-2026-09-19
1180001,بوشهر,118,بوشهر,28.96887,50.83657,geonames-iran-2026-09-19
1180002,تنگستان,118,اهرم,28.8826,51.2746,geonames-iran-2026-09-19
1180003,دشتستان,118,برازجان,29.2699,51.2188,geonames-iran-2026-09-19
1180004,دشتی,118,خورموج,28.6543,51.38,geonames-iran-2026-09-19
1180005,دیر,118,بندردیر,27.8399,51.9378,geonames-iran-2026-09-19
1180006,کنگان,118,بندرکنگان,27.837,52.062,geonames-iran-2026-09-19
1180007,گناوه,118,بندرگناوه,29.5791,50.517,geonames-iran-2026-09-19
1180008,دیلم,118,بندردیلم,30.0542,50.159,geonames-iran-2026-09-19
1180009,جم,118,جم,27.82977,52.32518,geonames-iran-2026-09-19
1190001,ابهر,119,ابهر,36.1468,49.218,geonames-iran-2026-09-19
1190003,خدابنده,119,قیدار,36.11949,48.59089,geonames-iran-2026-09-19
1190004,زنجان,119,زنجان,36.67642,48.49628,geonames-iran-2026-09-19
1190006,ایجرود,119,زرین آباد,36.42622,48.28158,geonames-iran-2026-09-19
1190007,خرمدره,119,خرمدره,36.20777,49.19527,geonames-iran-2026-09-19
1190008,طارم,119,آب بر,36.92627,48.95832,geonames-iran-2026-09-19
1190009,ماهنشان,119,ماه نشان,36.7444,47.6725,geonames-iran-2026-09-19
1200001,دامغان,120,دامغان,36.1679,54.34292,geonames-iran-2026-09-19
1200002,سمنان,120,سمنان,35.57691,53.39205,geonames-iran-2026-09-19
1200003,شاهرود,120,شاهرود,36.41819,54.97628,geonames-iran-2026-09-19
1200004,گرمسار,120,گرمسار,35.21824,52.34085,geonames-iran-2026-09-19
1200005,مهدی شهر,120,مهدی شهر,35.71071,53.35394,geonames-iran-2026-09-19
1200006,آرادان,120,آرادان,35.24941,52.49422,geonames-iran-2026-09-19
1200007,میامی,120,میامی,36.41092,55.65018,geonames-iran-2026-09-19
1200008,سرخه,120,سرخه,35.4633,53.214,geonames-iran-2026-09-19
1210001,اردکان,121,اردکان,32.31001,54.01747,geonames-iran-2026-09-19
1210002,بافق,121,بافق,31.6035,55.40249,geonames-iran-2026-09-19
1210003,تفت,121,تفت,31.74384,54.20278,geonames-iran-2026-09-19
